task_id,model,primary_label,blind_second_label,primary_reason,blind_second_reason
HumanEval/145,openai/gpt-4o-mini,MATH_REASONING,MISSING_EDGE,"The digit sum calculation does not account for negative numbers correctly, as it only sums the absolute values of the digits.","The code fails to handle negative numbers correctly as it uses `abs(n)` in `digit_sum`, which ignores the sign but the problem requires sorting based on the sum of digits including the sign."
HumanEval/146,meta-llama/llama-3.1-8b-instruct,MATH_REASONING,WRONG_ALGO,The logic for checking if the first digit is odd is incorrect; it uses integer division and modulus in a way that does not correctly isolate the first digit.,"The algorithm incorrectly checks for odd digits by using modulo and division operations, which do not correctly identify the first and last digits of a number, especially for numbers with more than two digits or negative numbers."
HumanEval/148,meta-llama/llama-3.1-8b-instruct,WRONG_ALGO,BOUNDARY,The algorithm incorrectly uses sorting and a list comprehension instead of directly slicing the list based on the indices of the planets.,"The code incorrectly uses strict inequalities (<) for index comparisons, which excludes the planets at the boundary indices. It should use inclusive inequalities (<=) to include planets at the boundary."
HumanEval/154,meta-llama/llama-3.1-8b-instruct,WRONG_ALGO,SPEC_PARTIAL,The approach of checking if 'b' is in the rotated versions of 'a' is incorrect; it does not account for all possible rotations properly.,"The code only checks if the second word or its rotations are substrings of the first word, but it does not handle cases where the second word is longer than the first word, which should return False."
HumanEval/154,openai/gpt-4o-mini,MISSING_EDGE,WRONG_ALGO,"The code fails to handle cases where the first word is shorter than the second word, which would make it impossible for any rotation of the second word to be a substring.","The code incorrectly checks for rotations of 'b' by generating all possible substrings of 'b' concatenated with itself, which does not correctly identify all rotations of 'b' as substrings of 'a'."
HumanEval/160,deepseek/deepseek-chat,MATH_REASONING,WRONG_ALGO,"The model's code does not correctly handle operator precedence, leading to incorrect results for expressions that require proper order of operations.","The code evaluates the expression left-to-right without considering operator precedence, leading to incorrect results for expressions like '2 + 3 * 4 - 5'."
HumanEval/160,meta-llama/llama-3.1-8b-instruct,MATH_REASONING,WRONG_ALGO,"The code does not correctly handle operator precedence, leading to incorrect results for expressions that require proper order of operations.","The code evaluates the expression left-to-right without considering operator precedence, leading to incorrect results for expressions involving multiplication, division, or exponentiation."
HumanEval/163,meta-llama/llama-3.1-8b-instruct,BOUNDARY,WRONG_ALGO,"The range is incorrectly defined; it should iterate from the minimum to the maximum of a and b, not the other way around.","The algorithm incorrectly iterates from max(a, b) to min(a, b) + 1, which reverses the intended range and logic for generating even digits between a and b."
HumanEval/163,openai/gpt-4o-mini,BOUNDARY,WRONG_ALGO,The code incorrectly includes numbers outside the range of single-digit even integers (0-8) when a and b are greater than 8.,"The code incorrectly returns all even numbers between a and b, instead of returning the even digits between a and b."
HumanEval/163,qwen/qwen-2.5-72b-instruct,PREMATURE_SIMPL,WRONG_ALGO,"The code incorrectly assumes that all digits of the numbers must be even, rather than just returning the even numbers between a and b.","The code incorrectly filters numbers based on all digits being even, instead of returning even numbers between a and b."
HumanEval/26,meta-llama/llama-3.1-8b-instruct,SPEC_PARTIAL,WRONG_ALGO,The code only keeps unique elements and does not remove elements that occur more than once.,"The code removes all duplicates but keeps the first occurrence, whereas the problem requires removing all elements that occur more than once, including their first occurrence."
HumanEval/32,deepseek/deepseek-chat,MATH_REASONING,WRONG_ALGO,The derivative calculation in f_prime is incorrect; it uses the wrong power of x for the coefficients.,"The code uses Newton's method to find a root, but the problem specification does not guarantee that the polynomial has a real root or that Newton's method will converge to a root. The problem specifies that the polynomial has an even number of coefficients and the largest non-zero coefficient guarantees a solution, but this does not necessarily mean that Newton's method is the correct approach."
HumanEval/32,qwen/qwen-2.5-72b-instruct,MATH_REASONING,WRONG_ALGO,"The polynomial evaluation in the 'poly' function incorrectly uses 'xs[1]' for both the linear and quadratic terms, leading to incorrect results.","The bisection method is not guaranteed to find a root for polynomials with even number of coefficients, especially when the largest non-zero coefficient is not considered."
HumanEval/37,meta-llama/llama-3.1-8b-instruct,STATE_UPDATE,WRONG_ALGO,"The code incorrectly uses the sorted even indices without properly maintaining the original odd indices, leading to wrong results.","The algorithm incorrectly pairs elements from the original list with sorted even-indexed elements, leading to mismatched values at even indices."
HumanEval/43,meta-llama/llama-3.1-8b-instruct,MISSING_EDGE,SPEC_PARTIAL,The code fails to handle cases where there are two distinct elements that sum to zero but do not include zero itself.,"The code only checks for the presence of zero and other non-zero elements, but does not check for pairs of distinct elements that sum to zero."
HumanEval/59,deepseek/deepseek-chat,MATH_REASONING,WRONG_ALGO,The logic for finding the largest prime factor is incorrect; it fails to return the correct largest prime factor after the loop.,"The algorithm fails to correctly identify the largest prime factor for numbers where the largest prime factor is greater than the square root of n. It returns n itself, which is incorrect for such cases."
HumanEval/65,meta-llama/llama-3.1-8b-instruct,MATH_REASONING,MISSING_EDGE,"The model's code incorrectly handles the case when shift is greater than the number of digits, as it does not reverse the digits in that scenario.","The code fails to handle the case where shift > number of digits, as specified in the problem. It should return the digits reversed in such cases, but it does not."
HumanEval/65,qwen/qwen-2.5-72b-instruct,BOUNDARY,MISSING_EDGE,"The condition for reversing the digits should be 'if shift > n' instead of 'if shift >= n', which causes incorrect behavior when shift equals the number of digits.","The code fails to handle the case where shift is exactly equal to the number of digits, which should return the original string but returns the reversed string instead."
HumanEval/68,meta-llama/llama-3.1-8b-instruct,MATH_REASONING,WRONG_ALGO,The model's code incorrectly returns the minimum index of even values twice instead of returning the corresponding value and its index.,The code incorrectly identifies the smallest even value by using the index list 'even_values' instead of the actual values in 'arr'. It also returns the same index twice instead of the smallest even value and its index.
HumanEval/74,openai/gpt-4o-mini,MATH_REASONING,SPEC_PARTIAL,The comparison should be less than or equal to (<=) instead of just less than (<) to handle the case where both lists have the same total number of characters.,"The code does not handle the case where the two lists have the same number of characters, as specified in the problem statement."
HumanEval/75,qwen/qwen-2.5-72b-instruct,MATH_REASONING,STATE_UPDATE,The logic for counting prime factors is incorrect; it does not ensure that the product of the prime factors equals the original number and may count duplicates.,"The code incorrectly updates 'a' within the loop, which can lead to incorrect factorization and premature termination of the loop, thus failing to correctly identify all prime factors."
HumanEval/81,meta-llama/llama-3.1-8b-instruct,MATH_REASONING,BOUNDARY,"The model's code uses incorrect boundaries for the GPA ranges, leading to wrong letter grades being assigned.","The code incorrectly handles the boundary for the 'E' grade. The condition for 'E' should be grade == 0.0, but the code uses 0.0 <= grade < 0.7, which incorrectly includes grades greater than 0.0 and less than 0.7."
HumanEval/91,qwen/qwen-2.5-72b-instruct,BOUNDARY,MISSING_EDGE,"The code fails to handle the case where sentences are followed by whitespace, leading to incorrect counting of sentences that start with 'I'.","The code fails to handle cases where the input string contains multiple delimiters consecutively or ends with a delimiter, leading to empty strings in the split result."
HumanEval/93,openai/gpt-4o-mini,MATH_REASONING,MISSING_EDGE,The calculation for replacing vowels is incorrect; it does not account for the correct position in the alphabet when wrapping around.,"The code fails to handle the case where a vowel is 'y' or 'Y', which should wrap around to 'a' or 'A' respectively when shifted two places ahead."
HumanEval/98,meta-llama/llama-3.1-8b-instruct,MATH_REASONING,BOUNDARY,"The model's code incorrectly checks for uppercase vowels by converting each character to uppercase, which is unnecessary and leads to incorrect results.","The code incorrectly includes the first character (index 0) in the count, which is an even index, but fails to handle the case where the string length is odd and the last character is at an even index."
