path,bytes,lines,sha256
scripts/audit_text_cleanliness.py,2870,139,f2e3e81e5db497c1423dae443ebaab203f87e35bcc7fb1064de223abea56ee29
scripts/compile_manuscripts.py,2235,73,94b3e33adb7993caedb8f13d11f3fe03f4d66ab23c6bd8ad5a0b569f3610c68f
scripts/fill_release_links.py,5437,116,91d2077fec0547ff5dea60eb0f8f3c9356f013149935d092f3213bbe30008d80
scripts/generate_artifact_manifest.py,2904,118,88a1a314805f5a5c414a1d86fad2c891fa18a17e3f5e37810972bb658d4acdd3
scripts/generate_model_metadata.py,2999,85,e88d4cc82b5021fdfb9384fc86621450f456fbf2fec0d11f9c3742c1de25afb7
scripts/generate_prompt_inventory.py,3650,124,0f1b8416967d72a0db72a95e4ba6fd8e488d7b121f4b3bf48a2e4c8c0d583a16
scripts/prepare_arxiv_package.py,1618,57,85fb1babd2dfdcaec0becd59b5203b2a321f19b6a831c79ec0cea1055582bb3f
scripts/prepare_human_review_sample.py,6296,176,42a9bb95bcba0aa8983e58fd1bd012627d6fe246e29878877b9aae0aa5a675e4
scripts/prepare_release_bundle.py,1433,53,1319182c8545560f7a09c7c7f7f5917d20b9d92728c5e5eb69f0af3d08747fb4
scripts/run_fast_verification.py,1143,40,a54b2c0af4b8dff120215fd8e8998191a1bf3410664f8126ad10587ed85cbb87
scripts/test_fill_release_links.py,3473,96,acc125e7f2b9c3fd3ec99feaff7177a7dc4632055a8eb87c082436d870fa05c5
src/analyze.py,7007,189,194407d2a7696874da81aa5daaac76d46825714ab7eb483db1f75e33483c255c
src/analyze_logic.py,3099,95,20fb22f1b728ebf23c9e9b578e2c5335865550a10e484faf9763434852dd2d9e
src/diag.py,456,8,e65cf90e4285b27e17b5f0a353cf87afd7126e535dee462136c72d1ed7b9e163
src/generate.py,4837,134,51687750292d00b32a6155f16b7a897ef1c1f1e6556fb8eebee94fc35e45955a
src/harness.py,2719,82,d6d0af253883b68dfb57299be145e1a04eba6df2e7c841c68893124a8d9f4886
src/humaneval.py,918,30,828a9250e370120c7628f676aa92af85f240ff77d65a6cc1a36dd8c02f7e5d6f
src/kappa.py,7429,212,b367b35c004ad96001e7db1e18e94dbe94845117ce24f7de77dbf4588ce731d5
src/label.py,6162,171,2785eda0df84a6b9e8a99005b657b29ffd34db854ac8da79f6fe14659525361c
src/make_review_sheet.py,2747,73,f073fca2a4d50be94da019eee33581336e576f61ad804a565bdda4c50247eb57
src/permutation_tests.py,3856,134,4c0efcd90897959b55ca31536b97145347800587985093057776c11fa4b2bde2
src/run_tests.py,2065,64,edd2681e5979449f4e778e7e99ad4f392b60dc81dcee5c3ba6a756f8a6ed1e33
src/sanitize.py,1643,44,5eb7b4fb085f603991d3d69861a667c3bc828434847a925c8f0feb6d00ae7218
src/second_annotator.py,6594,190,4f8cf5e29b4c2b5002d0c4d14eab1171c49972cbdf33709e351e85c69695ddf0
src/sublabel.py,5306,141,96e27a40e7c253f7db9cdb38c1363c8a33074e9971825bea0ba3b20020701262
submission_materials/ARXIV_PACKAGE_NOTES.md,1572,71,e0d2800aee4829a122e6379538717c61c8fcf05256d34bac8000484445a948ce
submission_materials/DATA_DICTIONARY.md,8541,262,6207225bde06b043171229382b0095f28f1e11577e54c94ec3aedaee5f4028ae
submission_materials/PDF_BUILD_GUIDE.md,2737,103,30a5cfb6210a7c445ee61463d2bdefce82895927c8e7568929c5d2df55a44e83
submission_materials/PROMPT_INVENTORY.md,4699,121,1426200814217a60f6301cec51b30b6b70a341915f19d48ffa2556c3445f8dd5
submission_materials/RELEASE_CHECKLIST.md,3869,61,0fca943f86f8a9629cc6a98c08bce8e94419697eea7c0fbd4631d3520e33a3ce
submission_materials/SOFTWARE_IMPACTS_OUTLINE.md,4569,135,7d352faf86c7d9f7dc16c6aac221fa421b1ada82f7c657e4b961bc60983d7461
submission_materials/SOFTWARE_METADATA.md,3124,62,2e73412a79269a1feaa48f68a33ac5d326272893ea55fdf2419d697ec3c3f32b
submission_materials/SUBMISSION_CHECKLIST.md,4646,116,39607c7774c52e5290ce70d05d21459ab73beb76219055bb2208d3aea9b32eb9
submission_materials/SUBMISSION_STATEMENTS.md,3036,69,7cc2b6260568826df4b1a5cf2351d4370b671b364c22a61187f40f8ead40504f
